onet_code,Title,xi,chi,L0,L_eq,dL,D_o,dW_bundle,W_o
15-2031.00,Operations Research Analysts,0.966633156558256,0.4528019999749144,0.0006503747820543788,0.00012070880191495428,-0.0005296659801394246,0.8137184142525083,-40.8296248347285,10.496909239998683
15-2041.00,Statisticians,1.0032591670145714,0.5002177722473157,0.0001652419810190757,1.2989974060210715e-05,-0.00015225200695886498,0.8133232989440781,-43.9200283828628,13.33023847864255
15-2041.01,Biostatisticians,0.7771460093091981,0.5930814252354714,0.0001652419810190757,5.354483943614905e-06,-0.0001598874970754608,0.8841745594808615,-46.77961484553534,10.453607082759893
15-2051.01,Business Intelligence Analysts,0.8724737081914924,0.405218718292031,0.0010632314578359293,0.0003663642767098869,-0.0006968671811260424,0.81409508015698,-39.8744073124965,5.546566541199267
15-2051.02,Clinical Data Managers,0.868030111631089,0.3388509464992562,0.0010632314578359293,0.0004972369663982464,-0.0005659944914376829,0.6893164870488242,-33.10170991642229,8.147598584528511
15-2099.01,Bioinformatics Technicians,0.9196315232459096,0.38306738665934,2.383456954932912e-05,1.7818050819926694e-06,-2.205276446733645e-05,0.8123981971542329,-38.82205812849073,17.63902896777925
17-1011.00,"Architects, Except Landscape and Naval",1.3095227629917172,0.320629929235699,0.0006133539575923421,0.00020531820900857826,-0.00040803574858376383,0.6514795748370455,-31.046379984377168,18.198253326584815
17-1012.00,Landscape Architects,1.0737768880708851,0.329320780037784,0.00011238661613885049,2.7375262184602084e-05,-8.50113539542484e-05,0.8027516848251159,-36.830899850458216,11.003395260310457
17-1021.00,Cartographers and Photogrammetrists,1.5917282660867194,0.2606115995212885,6.802783392204353e-05,3.282161494476318e-05,-3.520621897728035e-05,0.5710247640394567,-24.91541214827509,20.75983747303745
17-1022.00,Surveyors,1.5308574747022945,0.3078978314620185,0.0002799458469752221,0.00013409127274910897,-0.00014585457422611311,0.6352598083352887,-28.743328736556304,24.300396095365695
17-1022.01,Geodetic Surveyors,1.4883651229065882,0.3573584716773765,0.0002799458469752221,7.228098744122393e-05,-0.00020766485953399816,0.6242360527278638,-29.45341266515284,30.22789684868871
17-2011.00,Aerospace Engineers,1.5436722834202328,0.5583795095793345,0.00036778064957367567,9.284010512201676e-05,-0.0002749405444516589,0.7070595266520817,-37.433589112474905,51.37565720351515
17-2021.00,Agricultural Engineers,1.361538093601098,0.3621965296045514,1.0262106333738926e-05,2.197441683861964e-06,-8.064664649876961e-06,0.5841863708515654,-28.616383489108497,42.987684879468134
17-2031.00,Bioengineers and Biomedical Engineers,1.3558820423754316,0.4862846771334824,0.00010659349159561078,9.238783050435364e-06,-9.735470854517542e-05,0.801163584832435,-41.668650990088885,22.80263767188611
17-2041.00,Chemical Engineers,1.9076398293921075,0.5207460695637438,0.00011663490747055962,3.7178919579381516e-05,-7.94559878911781e-05,0.4074429699372586,-20.753951101164617,83.32828127455168
17-2051.00,Civil Engineers,1.6035525968638358,0.4921848882565109,0.0018093858990052046,0.0008565031965624217,-0.0009528827024427829,0.643244506859587,-33.303646420019795,17.69275332833895
17-2051.01,Transportation Engineers,1.4659828697278663,0.4072503461883239,0.0018093858990052046,0.0007365639318916606,-0.001072821967113544,0.6879695392512113,-33.45768878007469,21.47896981720042
