id,name,batch,status,is_ai,is_robotics,xi,chi
26870,Thera,Summer 2022,Active,1,0,5.837418497878473,0.16536467987521328
26877,Peoplebox.ai,Summer 2022,Active,1,0,6.176309011117778,0.144963276832536
26882,Coris,Summer 2022,Active,1,0,0.06416798109425997,0.07454800407286738
26883,Hedgehog,Summer 2022,Active,1,1,2.9696575249145867,0.14306299784352094
26884,Alphawatch AI,Winter 2023,Active,1,0,6.280775694477165,0.13456713876336915
26885,AnythingLLM,Summer 2022,Active,1,0,0.6450501601243127,0.05779778106676718
26890,Latent Space,Summer 2022,Active,1,0,0.4171370842224516,0.17675937579066936
26897,AviaryAI,Summer 2022,Active,1,0,5.734393707548085,0.2392292958234384
26901,FlyCode,Summer 2022,Active,1,0,6.192375262350853,0.06128032200444922
26902,Maya Labs,Summer 2022,Active,1,1,2.421763431602703,0.17923064891321164
26907,Rima AI (formerly Garage),Summer 2022,Active,1,0,4.319882220767545,0.05251340076987158
26912,Quinn,Summer 2022,Active,1,0,0.8505240880690063,0.24079822362031336
26913,Aurelian,Summer 2022,Active,1,0,5.73727812921385,0.20266927063769463
27037,Metriport,Summer 2022,Active,1,0,0.5451941311867025,0.2920193141806977
27038,Fini,Summer 2022,Active,1,0,4.7682588928247895,0.1025170467796405
27039,Cobbery,Summer 2022,Active,1,0,6.121033630565718,0.17267410479594045
27041,Feather,Summer 2022,Active,1,0,4.812765920752057,0.14097115142720945
27042,Artemis Search,Summer 2022,Active,1,0,0.8619090325192379,0.19080995322272318
27045,Argovox,Summer 2022,Inactive,1,0,5.742009861008336,0.28498133421062194
27046,Atlas,Summer 2022,Active,1,0,5.818861426809336,0.08047792253011768
27051,Unthread,Summer 2022,Active,1,0,4.462114029440601,0.3140313901645475
27092,Lamin,Summer 2022,Active,1,0,0.9864467670181043,0.35817181693746725
27097,Findly,Summer 2022,Active,1,0,0.8074315563858792,0.1951124319803622
27108,Sanifu,Summer 2022,Active,1,0,4.008760649211023,0.21133279577635397
27109,HOMLI,Summer 2022,Active,1,0,4.835345089161293,0.21131221686076265
27140,Boton,Summer 2022,Active,1,0,5.284790278959312,0.1883313034933111
27141,Avina,Summer 2022,Active,1,0,4.43181554426763,0.11904938373557124
27142,Invofox,Summer 2022,Active,1,0,4.638347874290452,0.06679183288406762
27143,TypeLess,Summer 2022,Active,1,0,5.649256151605406,0.13594943785765004
27152,Firecrawl,Summer 2022,Active,1,0,3.07578496988784,0.08102730045899734
27155,Sonnet,Summer 2022,Inactive,1,0,5.779042739250495,0.3036522167894423
27158,Jasmine Energy,Summer 2022,Inactive,1,0,1.8383162927297754,0.1318043788116771
27162,Oneleet,Summer 2022,Active,1,0,1.0422498228432424,0.21214692133563004
27166,Wondercraft,Summer 2022,Active,1,0,4.8885636471942835,0.07567500733562676
27172,Clearline,Summer 2022,Active,1,0,4.057484939034014,0.17598102252780423
27174,Monterey AI,Summer 2022,Acquired,1,0,0.914842933715184,0.3139629034133532
27178,Pump.co,Summer 2022,Active,1,0,4.588669604286425,0.024724543726211547
27185,Knowtex,Summer 2022,Active,1,0,0.28082726121616935,0.2384539409233387
