OCC_CODE,proj,bundle,value,strip,cong,reinst,dlnw
13-1081,-0.15127553404495114,-26.06558815834515,-1.1647218359499063,-1.2039955343725892,-0.04127330179262412,0.08054700021530703,0.09647305881900659
13-1081,-0.10753422496503545,-31.50517638416458,-1.3017357969918333,-1.2113116227697693,-0.17803230929249736,0.08760813507043341,0.09647305881900659
13-1081,-0.1361629528241977,-20.676811020564866,-0.9912923866430057,-0.9035055740715712,-0.1356079862654389,0.047821173694004404,0.09647305881900659
13-1111,-0.1619215571188324,-38.63087727461964,-1.25297215821878,-1.9178492341979878,0.5536078796446275,0.11126919633458021,0.17787973119797984
13-1121,-0.15763621256021756,-15.069168454920453,-0.574682118219064,-0.6188285636472743,-0.0013725896030716278,0.04551903503128196,0.1896245957704723
13-1131,-0.08626845111750103,-11.821910810888568,-0.7041682627623556,-0.5539832860335467,-0.20252465343054515,0.05233967670173634,0.22436275754692225
13-1141,-0.2072757065295206,-29.525055271832862,-1.293878675343106,-1.2446373350051658,-0.12781644400143954,0.0785751036634994,0.19172735508083072
13-1151,-0.1865165770515832,-21.995911988741746,-0.8422751498432941,-0.8701461662009597,-0.05458569874322272,0.08245671510088837,0.12384308996020721
13-1161,-0.1739596960381865,-39.90684510157395,-1.6543609348847268,-2.0826475549631147,0.2839590531275945,0.1443275669507933,0.21087426378754293
13-1161,-0.12985159081830705,-30.47023062655291,-1.1443145843692986,-1.4083963491212745,0.1832374179969991,0.08084434675497687,0.21087426378754293
13-2031,-0.13071740807297982,-30.718582824587422,-1.6086241945961475,-1.4167821489845338,-0.2722101267051886,0.08036808109357496,0.18005449619931158
13-2041,-0.1528096416867783,-33.26310672574101,-1.7376025050885624,-1.5861427431626218,-0.22607752040600415,0.07461775848006358,0.12562817426895867
13-2052,-0.16214369274085985,-23.982888672375623,-0.9748758349527078,-0.9924087813885452,-0.04160164444174841,0.05913459087758577,0.1788036970819551
13-2053,-0.08154080565760723,-33.59181614460268,-1.7172235693607196,-1.8011650258357217,0.011443876982869972,0.07249757949213209,0.15002661199363354
13-2061,-0.0712886484395029,-39.41385815187188,-2.1658798486654316,-2.1590867460909764,-0.14575577692941666,0.13896267435496124,0.14933935845336155
13-2071,-0.08193643817960239,-12.434338500034265,-0.7350979308749377,-0.3308583880922362,-0.4442330213148731,0.03999347853217161,0.12814115573746765
13-2072,-0.15362108012958617,-16.474253216205877,-0.6167328723083094,-0.7508192033968264,0.0836484999219822,0.050437831166534774,0.19229792541490642
13-2081,-0.1613426312026805,-16.808551389395898,-0.8146399265346513,-0.6680849919128042,-0.19434157213054082,0.04778663750869372,0.1275453421592192
13-2082,-0.07726132569309853,-8.099103986684487,-0.5164638047829557,-0.25279518715352234,-0.30446168190569445,0.04079306427626106,0.24274733474477772
15-1211,-0.08241168012406719,-33.409086883373384,-1.0716890911754473,-1.3778858557680969,0.2253508066770631,0.08084595791558646,0.15208953172551798
15-1211,-0.12148879569513556,-40.41814668271272,-1.3538262876079994,-1.8008020791348405,0.3440697930073795,0.10290599851946158,0.15208953172551798
15-1212,-0.08711339597754383,-32.532231160377684,-1.4128882887308907,-1.5260226727759274,0.029578295734934423,0.0835560883101023,0.2587482052417647
15-1221,-0.19315618008258462,-30.015899818737232,-1.408673904322506,-1.3374758149659423,-0.20882375667214848,0.13762566731558468,0.1328327063379886
15-1231,-0.15706295194308934,-17.873270873622882,-0.8097902941483541,-0.5282703803739603,-0.3116564215502269,0.0301365077758331,0.1830860410773516
15-1232,-0.2419774705089363,-21.077158393855434,-0.5111728472949921,-0.8104220996582421,0.2558158280201486,0.04343342434310138,0.16843058947650835
15-1241,-0.12923270096104178,-30.689663556758656,-1.4123389245937208,-1.1530456966869855,-0.3318157704354978,0.07252254252876256,0.17357789272824764
15-1241,-0.14720849975572295,-24.125728005823937,-1.0504412794651894,-0.7986032915456702,-0.2967844209525645,0.04494643303304535,0.17357789272824764
15-1244,-0.15202690040010713,-20.426787072483528,-0.840349970997706,-0.8050804595275332,-0.09118948279120564,0.05591997132103277,0.171470031277825
15-1251,-0.07077492246926609,-25.987111748612673,-1.0897224869962248,-1.0024250787484732,-0.14405828345668237,0.056760875208930806,0.14826253720203564
15-1299,-0.10265701604431393,-33.48375516501726,-1.442569794710109,-1.5393943594774515,0.03261084383614321,0.06421372093119926,0.27509436967810785
15-1299,-0.10225073192414415,-34.22907760107305,-1.4380978529250896,-1.6722948277404837,0.1614265703267943,0.07277040448859973,0.27509436967810785
15-1299,-0.07211629411852166,-42.67474440509725,-1.872006348856522,-2.2038771703749322,0.21888520010946744,0.11298562140894264,0.27509436967810785
15-1299,-0.14545385118031712,-36.14377282895096,-1.2638317376204689,-1.4163828353036831,0.0830889706440856,0.06946212703912868,0.27509436967810785
15-1299,-0.12394549338017237,-36.11055976012607,-1.6047053296000313,-1.8954197639803712,0.11564822499523308,0.17506620938510675,0.27509436967810785
15-2011,-0.14829997548881174,-35.48968183133513,-1.6384824327355627,-1.7447264326763026,-0.06097898975010807,0.16722298969084792,0.18219356498525574
15-2021,-0.07870260665446424,-33.9957943400535,-2.1176073411293834,-1.3680894878624694,-0.8528085964581267,0.10329074319121268,0.18758819174564678
