code,dL,strip_adj,cong_adj,reinst_adj,total_adj
11-3051.06,-0.0003967017905473862,-0.5827976208903163,0.11383631703752384,0.048297676716840154,-0.4206636271359523
11-3061.00,-5.928101032649216e-05,-0.5463997748998355,0.0803922320604662,0.043397819416629346,-0.42260972342273995
11-3071.04,-0.0005776631665262897,-1.1141543003153376,0.25693204871737585,0.04735471734811947,-0.8098675342498423
11-3111.00,-3.885624998194638e-05,-0.9991491178665766,0.12536575169988673,0.061962401005123624,-0.8118209651615662
11-3121.00,-0.00026177414666363153,-0.7945346292537576,0.06645090066119774,0.079585724239156,-0.6484980043534039
11-3131.00,-0.00014659375860574762,-1.1512979411569217,0.2538957956753327,0.055850255737066146,-0.8415518897445229
11-9021.00,-0.0010472265132674924,-1.245907749479049,0.3059100259588998,0.07133057714541957,-0.8686671463747295
11-9031.00,-0.0001377044324808499,-0.5382339990399418,0.15083869438467623,0.023523816258763208,-0.3638714883965024
11-9032.00,-0.00035257851179247264,-0.48674538595376315,0.0805256296495882,0.05572118648079183,-0.3504985698233831
11-9033.00,9.347847236724474e-05,-0.2296897624926908,-0.0035655869908408633,0.04498994084756447,-0.1882654086359672
11-9041.00,-0.0009070203059885208,-1.7007997640430887,0.5744903696929065,0.06172336141384349,-1.0645860329363388
11-9041.01,-0.0008593052899179452,-1.4256815698085892,0.49059443740835906,0.045671514160803284,-0.8894156182394268
11-9051.00,-5.6706778070009364e-05,-0.4609514747479895,0.007668838768752018,0.03946136366280317,-0.4138212723164343
11-9071.00,4.536171127272013e-06,-0.2039932287899786,-0.009498188595367107,0.03303939623065455,-0.18045202115469117
11-9072.00,2.9693503685089285e-05,-0.09711794273074137,-0.06631752787052081,0.024545747888405245,-0.13888972271285693
11-9081.00,3.8774713566792424e-05,-0.09776573791097976,-0.045227906251433136,0.01997403844430634,-0.12301960571810655
11-9111.00,-0.0009299057217853693,-0.9655683097137628,0.13352632759221317,0.0927169136680086,-0.7393250684535411
11-9121.00,-0.0004938291283925888,-2.1914095028623386,0.8067342435168905,0.10135810727895489,-1.283317152066493
11-9121.01,-0.0004732835364833166,-1.6996536257115613,0.5738578513047963,0.03625084689549052,-1.0895449275112745
11-9121.02,-0.00047338090389528243,-1.9537238464553672,0.7190378859875719,0.05082250310236658,-1.1838634573654288
11-9131.00,2.360145872811095e-05,-0.05794611214377099,-0.016445996504687255,0.021542947543394142,-0.0528491611050641
11-9141.00,-0.00011042869665906277,-0.6228096470607483,0.0585992580122312,0.048464282036048356,-0.5157461070124687
11-9151.00,-0.00042609742931433144,-0.8233308723517427,0.20724812594866426,0.04996677513849335,-0.5661159712645851
11-9161.00,-4.57709093734245e-05,-1.623368016783759,0.38021800338646994,0.1053765771473576,-1.1377734362499314
11-9171.00,-1.2589318182446425e-06,-0.2642102614120967,-0.05507006343361187,0.0273098038601165,-0.29197052098559206
11-9179.01,-2.667850628809865e-05,-0.8385988314774728,0.1080550405473133,0.036876118545132286,-0.6936676723850272
11-9179.02,2.235862352491981e-06,-0.21953911246351376,-0.016571092441887814,0.02363701014153774,-0.21247319476386384
11-9199.01,-0.00226545863617682,-2.3438812098903203,0.41273654704822604,0.1330521251102872,-1.798092537731807
11-9199.02,-0.0020460796192193387,-1.8773648467810948,0.34688175465230864,0.0823267088095978,-1.4481563833191884
11-9199.08,-0.00119780507996417,-1.208760413446312,0.1703374690763837,0.07807342819905472,-0.9603495161708735
11-9199.09,0.000234147838821848,-0.5242242021321757,-0.0024245769483681734,0.08984105402348863,-0.43680772505705523
11-9199.10,-0.001411946228391669,-1.3083146940727481,0.25344801263834404,0.07824928754139471,-0.9766173938930094
11-9199.11,-0.0023204817574893673,-1.7753163515809651,0.5415288283804409,0.08168817851858012,-1.152099344681944
