onet_code,rle_mean
49-2098.00,2.7020000000000004
49-3011.00,3.3010999999999995
49-3021.00,2.113011301130113
49-3022.00,1.9224922492249226
49-3023.00,2.6592000000000002
49-3031.00,2.843884388438844
49-3041.00,2.6333999999999995
49-3042.00,2.835016498350165
49-3043.00,2.405040504050405
49-3051.00,2.8377
49-3052.00,3.1947
49-3053.00,2.5478
49-3091.00,1.8607999999999996
49-3092.00,1.7741999999999998
49-3093.00,2.262573742625737
49-9011.00,1.9479
49-9012.00,2.7382999999999997
49-9021.00,2.6621000000000006
49-9031.00,2.21957804219578
49-9041.00,2.883111688831117
49-9043.00,2.748125187481252
49-9044.00,2.6364
49-9045.00,2.3063
49-9051.00,2.4316
49-9052.00,2.2836
49-9061.00,2.89048904890489
49-9062.00,3.565956595659565
49-9063.00,2.9547045295470458
49-9064.00,3.3232323232323235
49-9071.00,2.9211842368473686
49-9081.00,3.2317768223177685
49-9091.00,2.1001000000000003
49-9092.00,3.3380338033803376
49-9094.00,2.6927
49-9095.00,1.4201000000000001
49-9096.00,1.9480999999999997
49-9097.00,2.2066999999999997
49-9098.00,3.3129625925185042
49-9099.01,2.4954
51-1011.00,3.2121000000000004
51-2011.00,3.0625
51-2021.00,2.4013401340134015
51-2022.00,2.0604
51-2023.00,3.0687000000000006
51-2031.00,2.5436999999999994
51-2041.00,1.9188999999999998
51-2051.00,1.82018201820182
51-2061.00,2.3419
51-2092.00,2.3968603139686033
51-3011.00,2.0203
51-3021.00,1.9662000000000004
51-3022.00,1.4926000000000001
51-3023.00,1.9250999999999998
51-3091.00,2.045
51-3092.00,2.6108610861086112
51-3093.00,2.1399
51-4021.00,2.1163
51-4022.00,1.8229999999999997
51-4023.00,2.1050999999999997
51-4031.00,2.3571
51-4032.00,2.8137
51-4033.00,2.212578742125787
51-4034.00,3.290829082908291
51-4035.00,2.9891989198919893
51-4041.00,2.5416999999999996
51-4051.00,1.6414
51-4052.00,1.7995999999999999
51-4061.00,2.893800000000001
51-4062.00,2.946794679467947
51-4071.00,1.6437
51-4072.00,1.8396
51-4081.00,2.2961
51-4111.00,2.6078999999999994
51-4121.00,2.2238223822382235
51-4122.00,2.3481
51-4191.00,1.9059
51-4192.00,2.6275372462753723
51-4193.00,1.6575999999999997
51-4194.00,2.4059594040595944
51-5111.00,3.3901390139013903
51-5112.00,2.3054
51-5113.00,2.100989901009899
51-6011.00,1.354
51-6021.00,2.7132
51-6031.00,1.6269626962696269
51-6041.00,1.5638999999999998
51-6042.00,1.8508999999999998
51-6051.00,1.3657
51-6052.00,2.3698
51-6061.00,1.8851114888511145
51-6062.00,1.6769
51-6063.00,1.9468
51-6064.00,1.4616
51-6091.00,1.8704999999999998
51-6092.00,3.512851285128513
51-6093.00,1.5618
51-7011.00,2.1526
51-7021.00,1.6771
51-7031.00,2.6659
51-7032.00,2.5694999999999997
51-7041.00,2.0675
51-7042.00,1.9076000000000002
51-8011.00,3.273527352735273
51-8012.00,3.5191
51-8013.00,3.0121
51-8013.03,2.9071
51-8013.04,4.0830916908309165
51-8021.00,2.8777000000000004
51-8031.00,2.6667
51-8091.00,3.513900000000001
51-8092.00,2.6258
51-8093.00,2.0427
51-8099.01,2.3971
51-9011.00,3.0056000000000003
51-9012.00,2.0478000000000005
51-9021.00,2.1715999999999998
51-9022.00,2.2108999999999996
51-9023.00,2.2295999999999996
51-9031.00,1.5399
51-9032.00,1.7079707970797078
51-9041.00,2.5608
51-9051.00,2.1256
51-9061.00,2.3415000000000004
51-9071.00,3.777522247775222
51-9071.06,2.8327999999999998
51-9081.00,2.6702000000000004
51-9082.00,4.316431643164316
51-9083.00,3.0110011001100108
51-9111.00,1.9021000000000003
51-9123.00,1.7778000000000003
51-9124.00,1.8761
51-9141.00,1.9986
51-9151.00,2.401159884011599
51-9161.00,2.8538
51-9162.00,3.2109000000000005
51-9191.00,2.073907390739074
51-9192.00,1.8850114988501148
51-9193.00,1.9029000000000003
51-9194.00,2.0625062506250624
51-9195.03,2.102
51-9195.04,1.825317468253175
51-9195.05,3.4117
51-9196.00,2.00969903009699
51-9197.00,1.8606
51-9198.00,1.8705000000000003
53-1041.00,2.7568
53-1042.00,3.2945294529452944
53-1042.01,3.8894110588941104
53-1043.00,4.0173000000000005
53-2011.00,4.629037096290371
53-2012.00,2.6689999999999996
53-2021.00,3.626762676267626
53-2022.00,4.346699999999999
53-2031.00,2.7552999999999996
53-3011.00,2.6483648364836485
53-3031.00,1.6489999999999998
53-3032.00,1.950895089508951
53-3033.00,1.7946
53-3051.00,1.6616999999999997
53-3052.00,1.916291629162916
53-3053.00,2.3606
53-4011.00,2.34
53-4013.00,2.0924
53-4031.00,2.2638
53-4041.00,2.1806
53-5011.00,2.0727
53-5021.00,2.8945000000000003
53-5022.00,2.4962999999999997
53-5031.00,3.1974
53-6011.00,2.05
53-6021.00,1.6555
53-6031.00,2.1121
53-6041.00,3.4014401440144013
53-6051.01,3.6345000000000005
53-6051.07,2.3887
53-6061.00,1.8625137486251377
53-7011.00,1.407
53-7021.00,2.5279000000000003
53-7031.00,2.0994
53-7041.00,2.1391000000000004
53-7051.00,1.8556
53-7061.00,2.1839183918391836
53-7062.00,1.906
53-7062.04,3.1531999999999996
53-7063.00,1.9016
53-7064.00,1.9487999999999996
53-7065.00,2.6568
53-7071.00,2.7424000000000004
53-7072.00,3.0976097609760975
53-7073.00,2.3178
53-7081.00,2.3771
53-7121.00,2.007400740074007
