soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
23-2093,1999,13.38,H_MEDIAN,38730.0,1,True
25-1011,1999,23.740384615384617,A_MEDIAN,63110.0,1,True
25-1021,1999,21.82211538461539,A_MEDIAN,30760.0,1,True
25-1022,1999,22.163461538461537,A_MEDIAN,38850.0,1,True
25-1031,1999,24.985576923076923,A_MEDIAN,3730.0,1,True
25-1032,1999,31.40384615384615,A_MEDIAN,25960.0,1,True
25-1041,1999,28.653846153846157,A_MEDIAN,8180.0,1,True
25-1042,1999,24.072115384615383,A_MEDIAN,33790.0,1,True
25-1043,1999,22.29326923076923,A_MEDIAN,1830.0,1,True
25-1051,1999,26.019230769230766,A_MEDIAN,7930.0,1,True
25-1052,1999,23.692307692307693,A_MEDIAN,17860.0,1,True
25-1053,1999,24.423076923076923,A_MEDIAN,3790.0,1,True
25-1054,1999,27.350961538461533,A_MEDIAN,11230.0,1,True
25-1061,1999,26.355769230769226,A_MEDIAN,3850.0,1,True
25-1062,1999,23.87019230769231,A_MEDIAN,3000.0,1,True
25-1063,1999,27.91826923076923,A_MEDIAN,11100.0,1,True
25-1064,1999,24.600961538461547,A_MEDIAN,3330.0,1,True
25-1065,1999,24.365384615384603,A_MEDIAN,10480.0,1,True
25-1066,1999,24.495192307692307,A_MEDIAN,24690.0,1,True
25-1067,1999,22.365384615384613,A_MEDIAN,12490.0,1,True
25-1071,1999,29.572115384615383,A_MEDIAN,72130.0,1,True
25-1072,1999,21.951923076923073,A_MEDIAN,35360.0,1,True
25-1081,1999,20.77884615384615,A_MEDIAN,35030.0,1,True
25-1082,1999,22.870192307692303,A_MEDIAN,3870.0,1,True
25-1111,1999,19.278846153846153,A_MEDIAN,7830.0,1,True
25-1112,1999,34.65865384615384,A_MEDIAN,8250.0,1,True
25-1113,1999,21.38461538461539,A_MEDIAN,5660.0,1,True
25-1121,1999,20.793269230769237,A_MEDIAN,51710.0,1,True
25-1122,1999,20.682692307692303,A_MEDIAN,15960.0,1,True
25-1123,1999,20.567307692307693,A_MEDIAN,51030.0,1,True
25-1124,1999,20.6875,A_MEDIAN,20140.0,1,True
25-1125,1999,22.75,A_MEDIAN,16950.0,1,True
25-1126,1999,21.78846153846154,A_MEDIAN,13380.0,1,True
25-1192,1999,21.82211538461538,A_MEDIAN,4970.0,1,True
25-1193,1999,20.125000000000007,A_MEDIAN,14970.0,1,True
25-1194,1999,17.039999999999996,H_MEDIAN,129780.0,1,True
25-2011,1999,8.409999999999998,H_MEDIAN,339310.0,1,True
25-2012,1999,16.78365384615385,A_MEDIAN,158250.0,1,True
25-2021,1999,17.822115384615387,A_MEDIAN,1357340.0,1,True
25-2022,1999,18.076923076923077,A_MEDIAN,570010.0,1,True
25-2023,1999,18.591346153846153,A_MEDIAN,17450.0,1,True
25-2031,1999,18.932692307692303,A_MEDIAN,947010.0,1,True
25-2032,1999,19.500000000000004,A_MEDIAN,107330.0,1,True
25-2051,1999,18.466346153846153,A_MEDIAN,203690.0,1,False
25-2055,1999,18.466346153846153,A_MEDIAN,203690.0,1,False
25-2056,1999,18.466346153846153,A_MEDIAN,203690.0,1,False
25-2057,1999,17.250000000000004,A_MEDIAN,86850.0,1,True
25-2058,1999,19.149038461538456,A_MEDIAN,119870.0,1,True
25-3011,1999,14.920000000000002,H_MEDIAN,56880.0,1,True
25-3021,1999,12.54,H_MEDIAN,125650.0,1,True
25-4022,1999,18.812210004559986,H_MEDIAN,147450.0,2,False
25-4031,1999,10.839999999999998,H_MEDIAN,98030.0,1,True
25-9021,1999,17.239999999999995,H_MEDIAN,9530.0,1,True
25-9031,1999,20.06,H_MEDIAN,76870.0,1,True
25-9042,1999,7.894230769230771,A_MEDIAN,1115820.0,1,False
25-9043,1999,7.894230769230771,A_MEDIAN,1115820.0,1,False
25-9044,1999,9.514423076923075,A_MEDIAN,124750.0,1,True
25-9049,1999,7.894230769230771,A_MEDIAN,1115820.0,1,False
27-1011,1999,25.81,H_MEDIAN,19190.0,1,True
27-1013,1999,14.509999999999993,H_MEDIAN,13240.0,1,True
27-1014,1999,17.820000000000004,H_MEDIAN,30530.0,1,True
27-1021,1999,22.149999999999995,H_MEDIAN,38350.0,1,True
27-1022,1999,21.96,H_MEDIAN,9600.0,1,True
27-1023,1999,8.659999999999998,H_MEDIAN,59410.0,1,True
27-1024,1999,15.95,H_MEDIAN,119820.0,1,True
27-1025,1999,16.029999999999994,H_MEDIAN,29690.0,1,True
27-1026,1999,9.36,H_MEDIAN,51530.0,1,True
27-1027,1999,13.619999999999997,H_MEDIAN,8290.0,1,True
27-2011,1999,17.076923076923073,A_MEDIAN,84790.0,1,True
27-2012,1999,18.254807692307697,A_MEDIAN,39200.0,1,True
27-2021,1999,17.76923076923077,A_MEDIAN,10620.0,1,True
27-2022,1999,13.307692307692307,A_MEDIAN,65820.0,1,True
27-2023,1999,8.927884615384615,A_MEDIAN,8150.0,1,True
27-2031,1999,9.42,H_MEDIAN,14910.0,1,True
27-2032,1999,12.949999999999998,H_MEDIAN,11170.0,1,True
27-2041,1999,14.288461538461542,A_MEDIAN,6310.0,1,True
27-2042,1999,14.447115384615387,A_MEDIAN,46440.0,1,True
27-3031,1999,17.630000000000003,H_MEDIAN,118280.0,1,False
27-3041,1999,18.009999999999998,H_MEDIAN,95210.0,1,True
