onet_code,aise,rse,job_zone,complementarity
31-9011.00,0.0041753653444676,0.0357142857142857,3.0,0.5108333333333334
31-9091.00,0.2734864300626304,0.4285714285714285,3.0,0.5872222222222223
31-9092.00,0.5480167014613778,0.5833333333333334,3.0,0.5488888888888889
31-9093.00,0.0751565762004175,0.4166666666666667,2.0,0.5530555555555555
31-9094.00,0.4384133611691023,0.3095238095238095,3.0,0.5569444444444444
31-9095.00,0.1993736951983298,0.4523809523809524,2.0,0.5244444444444445
31-9096.00,0.0292275574112734,0.2142857142857142,2.0,0.5422222222222222
31-9097.00,0.0083507306889352,0.0476190476190476,3.0,0.625
31-9099.00,0.4112734864300626,0.4880952380952381,,
31-9099.01,0.0835073068893528,0.0952380952380952,3.0,0.5011111111111111
31-9099.02,0.0240083507306889,0.1547619047619047,2.0,0.5613888888888888
33-1011.00,0.0313152400835073,0.0952380952380952,3.0,0.7122222222222221
33-1012.00,0.0323590814196242,0.0476190476190476,3.0,0.7372222222222221
33-1021.00,0.0281837160751565,0.0833333333333333,3.0,0.7430555555555556
33-1091.00,0.2578288100208768,0.5,,
33-1099.00,0.4655532359081419,0.7619047619047619,,
33-2011.00,0.0104384133611691,0.0952380952380952,3.0,0.7038888888888889
33-2021.00,0.0605427974947807,0.2142857142857142,3.0,0.6686111111111112
33-2022.00,0.1116910229645093,0.2142857142857142,3.0,0.7127777777777778
33-3011.00,0.0313152400835073,0.0238095238095238,3.0,0.5361111111111111
33-3012.00,0.022964509394572,0.1309523809523809,2.0,0.6452777777777778
33-3021.00,0.034446764091858,0.0119047619047619,3.0,0.6888888888888889
33-3021.02,0.1096033402922755,0.2261904761904762,3.0,0.7044444444444444
33-3021.06,0.1524008350730689,0.1547619047619047,4.0,0.5919444444444444
33-3031.00,0.092901878914405,0.2976190476190476,4.0,0.7538888888888888
33-3041.00,0.1430062630480167,0.4285714285714285,2.0,0.5211111111111112
33-3051.00,0.011482254697286,0.0476190476190476,3.0,0.6866666666666668
33-3051.04,0.0636743215031315,0.0833333333333333,3.0,0.6791666666666667
33-3052.00,0.0323590814196242,0.1547619047619047,3.0,0.6927777777777778
33-9011.00,0.0083507306889352,0.0595238095238095,2.0,0.6188888888888888
33-9021.00,0.545929018789144,0.4761904761904761,3.0,0.5472222222222222
33-9031.00,0.1993736951983298,0.1904761904761904,2.0,0.5558333333333334
33-9032.00,0.1377870563674321,0.5714285714285714,2.0,0.6013888888888889
33-9091.00,0.0427974947807933,0.238095238095238,2.0,0.5377777777777778
33-9092.00,0.0636743215031315,0.1785714285714285,2.0,0.6072222222222222
33-9093.00,0.0782881002087682,0.1666666666666666,2.0,0.5227777777777777
33-9094.00,0.0396659707724425,0.1904761904761904,,
33-9099.00,0.6064718162839249,0.8809523809523809,,
33-9099.02,0.1795407098121085,0.5119047619047619,2.0,0.5691666666666666
35-1011.00,0.0104384133611691,0.1428571428571428,3.0,0.6483333333333333
35-1012.00,0.0501043841336116,0.3452380952380952,2.0,0.635
35-2011.00,0.0208768267223382,0.238095238095238,1.0,0.4663888888888889
35-2012.00,0.0104384133611691,0.1428571428571428,2.0,0.5308333333333334
35-2013.00,0.0125260960334029,0.1071428571428571,3.0,0.4711111111111111
35-2014.00,0.0396659707724425,0.2142857142857142,2.0,0.4786111111111111
35-2015.00,0.0751565762004175,0.3809523809523809,2.0,0.5325
35-2019.00,0.395615866388309,0.4642857142857143,,
35-2021.00,0.0292275574112734,0.238095238095238,1.0,0.5066666666666666
35-3011.00,0.0093945720250521,0.1547619047619047,2.0,0.4366666666666666
35-3023.00,0.1597077244258872,0.4523809523809524,1.0,0.4577777777777777
35-3023.01,0.034446764091858,0.2142857142857142,1.0,0.4380555555555556
35-3031.00,0.0521920668058455,0.3095238095238095,2.0,0.4375
35-3041.00,0.0208768267223382,0.238095238095238,2.0,0.5547222222222223
35-9011.00,0.0532359081419624,0.369047619047619,1.0,0.44
35-9021.00,0.0093945720250521,0.1666666666666666,1.0,0.4363888888888889
35-9031.00,0.0835073068893528,0.3809523809523809,2.0,0.5225
35-9099.00,0.0751565762004175,0.3452380952380952,,
37-1011.00,0.1711899791231732,0.4285714285714285,2.0,0.5844444444444445
37-1012.00,0.2526096033402922,0.4404761904761904,3.0,0.7011111111111111
37-2011.00,0.0772442588726513,0.5,3.0,0.5455555555555557
37-2012.00,0.127348643006263,0.3809523809523809,1.0,0.3777777777777777
